"no cond, no odor ",,,,,,,"no cond, odor",,,,,,,"aversive, odor",,,,,,,"sex, odor",,,,,,,
Overall ,Sectors,,,,,,Overall ,Sectors,,,,,,Overall,,,,,,,Overall,Sectors,,,,,,
0,1,-1,,,,,-3,1,2,-1,-2,-3,,-6,-1,-2,-3,,,,6,1,2,3,,,,"mock exploration is males from him-5, tested 2021 (19nov,7dec)"
-3,-1,-2,,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,6,1,2,3,,,,"BZ mock and aversive is from controls of expl assays (19nov,7dec) AND controls for PDFR1domnegativecontrols 28sep, 5oct2022"
2,1,2,-1,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,0,-1,1,,,,,
-3,-1,-2,,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,-2,1,-1,-2,,,,
1,1,,,,,,6,1,2,3,,,,-6,-1,-2,-3,,,,-5,1,-1,-2,-3,,,
0,1,-1,,,,,-6,-1,-2,-3,,,,-2,1,-1,-2,,,,6,1,2,3,,,,
6,1,2,3,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,6,1,2,3,,,,
-3,-1,-2,,,,,0,1,-1,,,,,-3,-1,-2,,,,,6,1,2,3,,,,
-3,-1,-2,,,,,2,-1,1,2,,,,-6,-1,-2,-3,,,,6,1,2,3,,,,
-6,-1,-2,-3,,,,5,-1,1,2,3,,,-3,-1,-2,,,,,-5,1,-1,-2,-3,,,
-3,-1,-2,,,,,6,1,2,3,,,,0,-1,1,,,,,6,1,2,3,,,,
0,-1,1,,,,,3,1,2,,,,,-5,1,-1,-2,-3,,,6,1,2,3,,,,
0,1,-1,,,,,1,1,,,,,,-2,1,-1,-2,,,,6,1,2,3,,,,
2,-1,1,2,,,,5,-1,1,2,3,,,-6,-1,-2,-3,,,,6,1,2,3,,,,
5,-1,1,2,3,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,6,1,2,3,,,,
6,1,2,3,,,,6,1,2,3,,,,-3,1,2,-1,-2,-3,,6,1,2,3,,,,
-3,-1,-2,,,,,6,1,2,3,,,,-1,-1,,,,,,3,1,2,,,,,
0,1,-1,,,,,6,1,2,3,,,,-3,-1,-2,,,,,1,1,,,,,,
-2,1,-1,-2,,,,6,1,2,3,,,,-6,-1,-2,-3,,,,6,1,2,3,,,,
-5,1,-1,-2,-3,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,6,1,2,3,,,,
2,-1,1,2,,,,2,-1,1,2,,,,-2,1,-1,-2,,,,6,1,2,3,,,,
3,1,2,,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,6,1,2,3,,,,
0,1,-1,,,,,5,-1,1,2,3,,,-5,1,-1,-2,-3,,,6,1,2,3,,,,
-2,1,-1,-2,,,,6,1,2,3,,,,-2,1,-1,-2,,,,6,1,2,3,,,,
1,1,,,,,,5,-1,1,2,3,,,0,1,-1,,,,,,,,,,,,
2,-1,1,2,,,,5,-1,1,2,3,,,-4,1,-2,-3,,,,,,,,,,,
2,-1,1,2,,,,6,1,2,3,,,,-2,1,-1,-2,,,,,,,,,,,
0,1,-1,,,,,3,1,2,3,-1,-2,,-5,1,-1,-2,-3,,,,,,,,,,
0,0,,,,,,3,1,2,3,-1,-2,,-6,-1,-2,-3,,,,,,,,,,,
6,1,2,3,,,,5,-1,1,2,3,,,-6,-1,-2,-3,,,,,,,,,,,
-2,1,-1,-2,,,,3,1,2,,,,,-2,1,-1,-2,,,,,,,,,,,
-3,-1,-2,,,,,5,-1,1,2,3,,,-5,1,-1,-2,-3,,,,,,,,,,
0,1,2,-1,-2,,,6,1,2,3,,,,-1,-1,,,,,,,,,,,,,
-2,1,-1,-2,,,,5,-1,1,2,3,,,-3,-1,-2,-3,1,2,,,,,,,,,
-5,1,-1,-2,-3,,,5,-1,1,2,3,,,-3,-1,-2,,,,,,,,,,,,
1,1,,,,,,5,-1,1,2,3,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,3,1,2,3,-1,-2,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,6,1,2,3,,,,0,1,-1,,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,3,1,2,3,-1,-2,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,3,1,2,,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-1,-1,,,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,0,1,-1,,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-3,-1,-2,,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,0,1,-1,,,,,,,,,,,,
,,,,,,,1,1,,,,,,0,-1,1,,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-1,-1,,,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,2,-1,1,2,,,,,,,,,,,
,,,,,,,,,,,,,,2,-1,1,2,,,,,,,,,,,
,,,,,,,,,,,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,,,,,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,-3,1,2,-1,-2,-3,,,,,,,,,
,,,,,,,,,,,,,,0,1,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,,,,,,,,-3,-1,-2,,,,,,,,,,,,
,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,
,,,,,,,,,,,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,,,,,,,,0,1,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,